/2 Population and social processes/20 Census/PS-pp-1.3.px	2025-09-11	Distribution of RA (Current and Permanent population) by age and sex
/2 Population and social processes/20 Census/PS-pp-1-1-2.px	2025-09-16	RA Permanent Population according by Marzes and by Sex
/2 Population and social processes/20 Census/PS-pp-2.1.px	2025-09-11	Population by Age, Sex and Marital Status
/2 Population and social processes/20 Census/PS-pp-3.1.px	2025-09-12	Population by Educational Attainment, Scientific Degree, Sex and Age
/2 Population and social processes/20 Census/PS-pp-5.1.px	2025-09-12	Population by Ethnicity, Sex and Age
/2 Population and social processes/20 Census/PS-pp-5.2.px	2025-09-12	Population by Ethnicity and Age
/2 Population and social processes/20 Census/PS-pp-7.1.px	2025-09-12	Households by Structure and Number of Family nuclei
/2 Population and social processes/20 Census/PS-pp-8.11.px	2025-09-11	Households by Type of Ownership of the Dwelling and Type of Housing Unit
/2 Population and social processes/20 Census/PS-pp-8.4-1.px	2025-09-12	Households by Main Source of Water Supply and Type of Housing Unit
/2 Population and social processes/20 Census/PS-pp-8.5-1.px	2025-09-12	Households by Toilet Facilities of Housing Unit and by Type of Housing Unit
/2 Population and social processes/20 Census/PS-pp-8.6-1.px	2025-09-11	Households by Form of Garbage Disposal of the Dwelling and Type of Housing Unit
/2 Population and social processes/20 Census/PS-pp-8.7-1.px	2025-09-11	Households by Sewage System of the Dwelling and Type of Housing Unit
/2 Population and social processes/20 Census/PS-pp-8.8-1.px	2025-09-11	Households by Bathing Facilities of the Dwelling and Type of Housing Unit
/2 Population and social processes/20 Census/PS-pp-8.9-1.px	2025-09-11	Households by Main Source of Heating of the Dwelling and Type of Housing Unit
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl01.px	2025-09-08	Number of libraries by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl02.px	2025-09-08	Library collection (fund) by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl03.px	2025-09-08	Library collection (fund) by content and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl04.px	2025-09-08	Served literature by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl05.px	2025-09-08	Served literature by content and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl06.px	2025-09-08	Number of readers by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl07.px	2025-12-16	Number of readers from 2010 to 2022 by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl08.px	2025-09-08	Number of attendances by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl09.px	2025-09-08	Number of library employees by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl10.px	2025-09-08	Number of library employees by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl11.px	2025-09-08	Number of massive events by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl12.px	2025-09-08	Number of places of reading rooms by marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl13.px	2025-09-08	Areas of library buildings and reading rooms by indicators, marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl14.px	2025-09-08	Involvement of population in libraries by marzes and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl15.px	2025-09-08	Specialized scientific libraries by indicators and years
/2 Population and social processes/21 Culture/211 Activity of libraries/ps-cl-nl16.px	2025-09-08	Specialized scientific libraries by indicators and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto01.px	2025-07-29	Number of concert organizations by subordination and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto02.px	2025-07-29	Number of theater organizations by marzes and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto03.px	2025-07-29	Number of performances by indicators and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto04.px	2025-07-29	Number of spectators by indicators and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto05.px	2025-07-29	Received income by indicators and years
/2 Population and social processes/21 Culture/213 Theatrical activities/ps-cl-nto06.px	2025-07-29	Number of performances by marzes and years
